"state","county","party","candidate","if_candidate_won_in_county","number_of_votes_in_county","all_county_votes_cast","all_possible_county_votes","number_of_wins_in_state","number_of_votes_in_state","all_possible_state_votes","if_candidate_won_in_state","cenzus_region","cenzus_subregion"
Colorado,Adams County,LIB,Jo Jorgensen,false,3731,236735,236735,0,52460,3256953,false,West,Mountain
Colorado,Adams County,GRN,Howie Hawkins,false,744,236735,236735,0,8986,3256953,false,West,Mountain
Colorado,Adams County,IND,Kanye West,false,729,236735,236735,0,8089,3256953,false,West,Mountain
Colorado,Adams County,CST,Don Blankenship,false,455,236735,236735,0,5061,3256953,false,West,Mountain
Colorado,Adams County,UTY,Bill Hammons,false,264,236735,236735,0,2730,3256953,false,West,Mountain
Colorado,Adams County,IND,Mark Charles,false,197,236735,236735,0,2011,3256953,false,West,Mountain
Colorado,Adams County,ASP,Brian Carroll,false,160,236735,236735,0,2516,3256953,false,West,Mountain
Colorado,Adams County,IAP,Kyle Kopitke,false,102,236735,236735,0,762,3256953,false,West,Mountain
Colorado,Adams County,PSL,Gloria La Riva,false,90,236735,236735,0,1035,3256953,false,West,Mountain
Colorado,Adams County,ALI,Rocky De La Fuente,false,72,236735,236735,0,636,3256953,false,West,Mountain
Colorado,Adams County,UNA,Joe McHugh,false,60,236735,236735,0,614,3256953,false,West,Mountain
Colorado,Adams County,IND,Brock Pierce,false,51,236735,236735,0,572,3256953,false,West,Mountain
Colorado,Adams County,PRO,Phil Collins,false,46,236735,236735,0,568,3256953,false,West,Mountain
Colorado,Adams County,UNA,Princess Jacob-Fambro,false,40,236735,236735,0,495,3256953,false,West,Mountain
Colorado,Adams County,PRG,Dario Hunter,false,38,236735,236735,0,379,3256953,false,West,Mountain
Colorado,Adams County,APV,Blake Huber,false,37,236735,236735,0,355,3256953,false,West,Mountain
Colorado,Adams County,SWP,Alyson Kennedy,false,24,236735,236735,0,354,3256953,false,West,Mountain
Colorado,Adams County,UNA,Jordan Scott,false,23,236735,236735,0,175,3256953,false,West,Mountain
Colorado,Adams County,SEP,Joseph Kishore,false,13,236735,236735,0,196,3256953,false,West,Mountain
Colorado,Adams County,WRI, Write-ins,false,0,236735,236735,0,0,3256953,false,West,Mountain
Colorado,Alamosa County,REP,Donald Trump,true,3813,7808,7808,40,1364607,3256953,false,West,Mountain
Colorado,Alamosa County,DEM,Joe Biden,false,3759,7808,7808,24,1804352,3256953,true,West,Mountain
Colorado,Alamosa County,LIB,Jo Jorgensen,false,90,7808,7808,0,52460,3256953,false,West,Mountain
Colorado,Alamosa County,IND,Kanye West,false,48,7808,7808,0,8089,3256953,false,West,Mountain
Colorado,Alamosa County,GRN,Howie Hawkins,false,23,7808,7808,0,8986,3256953,false,West,Mountain
Colorado,Alamosa County,CST,Don Blankenship,false,22,7808,7808,0,5061,3256953,false,West,Mountain
Colorado,Alamosa County,IND,Mark Charles,false,11,7808,7808,0,2011,3256953,false,West,Mountain
Colorado,Alamosa County,ASP,Brian Carroll,false,7,7808,7808,0,2516,3256953,false,West,Mountain
Colorado,Alamosa County,UTY,Bill Hammons,false,6,7808,7808,0,2730,3256953,false,West,Mountain
Colorado,Alamosa County,ALI,Rocky De La Fuente,false,5,7808,7808,0,636,3256953,false,West,Mountain
Colorado,Alamosa County,SWP,Alyson Kennedy,false,5,7808,7808,0,354,3256953,false,West,Mountain
Colorado,Alamosa County,UNA,Joe McHugh,false,4,7808,7808,0,614,3256953,false,West,Mountain
Colorado,Alamosa County,PSL,Gloria La Riva,false,3,7808,7808,0,1035,3256953,false,West,Mountain
Colorado,Alamosa County,IND,Brock Pierce,false,3,7808,7808,0,572,3256953,false,West,Mountain
Colorado,Alamosa County,IAP,Kyle Kopitke,false,3,7808,7808,0,762,3256953,false,West,Mountain
Colorado,Alamosa County,PRO,Phil Collins,false,2,7808,7808,0,568,3256953,false,West,Mountain
Colorado,Alamosa County,SEP,Joseph Kishore,false,2,7808,7808,0,196,3256953,false,West,Mountain
Colorado,Alamosa County,PRG,Dario Hunter,false,1,7808,7808,0,379,3256953,false,West,Mountain
Colorado,Alamosa County,APV,Blake Huber,false,1,7808,7808,0,355,3256953,false,West,Mountain
Colorado,Alamosa County,UNA,Princess Jacob-Fambro,false,0,7808,7808,0,495,3256953,false,West,Mountain
Colorado,Alamosa County,UNA,Jordan Scott,false,0,7808,7808,0,175,3256953,false,West,Mountain
Colorado,Alamosa County,WRI, Write-ins,false,0,7808,7808,0,0,3256953,false,West,Mountain
Colorado,Arapahoe County,DEM,Joe Biden,true,213607,350183,350183,24,1804352,3256953,true,West,Mountain
Colorado,Arapahoe County,REP,Donald Trump,false,127323,350183,350183,40,1364607,3256953,false,West,Mountain
Colorado,Arapahoe County,LIB,Jo Jorgensen,false,5423,350183,350183,0,52460,3256953,false,West,Mountain
Colorado,Arapahoe County,GRN,Howie Hawkins,false,926,350183,350183,0,8986,3256953,false,West,Mountain
Colorado,Arapahoe County,IND,Kanye West,false,908,350183,350183,0,8089,3256953,false,West,Mountain
Colorado,Arapahoe County,CST,Don Blankenship,false,503,350183,350183,0,5061,3256953,false,West,Mountain
Colorado,Arapahoe County,UTY,Bill Hammons,false,328,350183,350183,0,2730,3256953,false,West,Mountain
Colorado,Arapahoe County,ASP,Brian Carroll,false,297,350183,350183,0,2516,3256953,false,West,Mountain
Colorado,Arapahoe County,IND,Mark Charles,false,189,350183,350183,0,2011,3256953,false,West,Mountain
Colorado,Arapahoe County,PSL,Gloria La Riva,false,118,350183,350183,0,1035,3256953,false,West,Mountain
Colorado,Arapahoe County,IAP,Kyle Kopitke,false,94,350183,350183,0,762,3256953,false,West,Mountain
Colorado,Arapahoe County,ALI,Rocky De La Fuente,false,67,350183,350183,0,636,3256953,false,West,Mountain
Colorado,Arapahoe County,UNA,Princess Jacob-Fambro,false,65,350183,350183,0,495,3256953,false,West,Mountain
Colorado,Arapahoe County,PRO,Phil Collins,false,63,350183,350183,0,568,3256953,false,West,Mountain
Colorado,Arapahoe County,UNA,Joe McHugh,false,58,350183,350183,0,614,3256953,false,West,Mountain
Colorado,Arapahoe County,IND,Brock Pierce,false,45,350183,350183,0,572,3256953,false,West,Mountain
Colorado,Arapahoe County,PRG,Dario Hunter,false,45,350183,350183,0,379,3256953,false,West,Mountain
Colorado,Arapahoe County,APV,Blake Huber,false,41,350183,350183,0,355,3256953,false,West,Mountain
Colorado,Arapahoe County,SWP,Alyson Kennedy,false,41,350183,350183,0,354,3256953,false,West,Mountain
Colorado,Arapahoe County,SEP,Joseph Kishore,false,25,350183,350183,0,196,3256953,false,West,Mountain
Colorado,Arapahoe County,UNA,Jordan Scott,false,17,350183,350183,0,175,3256953,false,West,Mountain
Colorado,Arapahoe County,WRI, Write-ins,false,0,350183,350183,0,0,3256953,false,West,Mountain
Colorado,Archuleta County,REP,Donald Trump,true,5189,9144,9144,40,1364607,3256953,false,West,Mountain
Colorado,Archuleta County,DEM,Joe Biden,false,3738,9144,9144,24,1804352,3256953,true,West,Mountain
Colorado,Archuleta County,LIB,Jo Jorgensen,false,120,9144,9144,0,52460,3256953,false,West,Mountain
Colorado,Archuleta County,IND,Kanye West,false,20,9144,9144,0,8089,3256953,false,West,Mountain
Colorado,Archuleta County,CST,Don Blankenship,false,20,9144,9144,0,5061,3256953,false,West,Mountain
Colorado,Archuleta County,GRN,Howie Hawkins,false,19,9144,9144,0,8986,3256953,false,West,Mountain
Colorado,Archuleta County,UTY,Bill Hammons,false,9,9144,9144,0,2730,3256953,false,West,Mountain
Colorado,Archuleta County,ASP,Brian Carroll,false,7,9144,9144,0,2516,3256953,false,West,Mountain
Colorado,Archuleta County,IND,Mark Charles,false,6,9144,9144,0,2011,3256953,false,West,Mountain
Colorado,Archuleta County,IND,Brock Pierce,false,5,9144,9144,0,572,3256953,false,West,Mountain
Colorado,Archuleta County,UNA,Princess Jacob-Fambro,false,3,9144,9144,0,495,3256953,false,West,Mountain
Colorado,Archuleta County,IAP,Kyle Kopitke,false,2,9144,9144,0,762,3256953,false,West,Mountain
Colorado,Archuleta County,UNA,Joe McHugh,false,2,9144,9144,0,614,3256953,false,West,Mountain
Colorado,Archuleta County,PSL,Gloria La Riva,false,2,9144,9144,0,1035,3256953,false,West,Mountain
Colorado,Archuleta County,APV,Blake Huber,false,1,9144,9144,0,355,3256953,false,West,Mountain
Colorado,Archuleta County,PRO,Phil Collins,false,1,9144,9144,0,568,3256953,false,West,Mountain
Colorado,Archuleta County,UNA,Jordan Scott,false,0,9144,9144,0,175,3256953,false,West,Mountain
Colorado,Archuleta County,SWP,Alyson Kennedy,false,0,9144,9144,0,354,3256953,false,West,Mountain
Colorado,Archuleta County,SEP,Joseph Kishore,false,0,9144,9144,0,196,3256953,false,West,Mountain
Colorado,Archuleta County,PRG,Dario Hunter,false,0,9144,9144,0,379,3256953,false,West,Mountain
Colorado,Archuleta County,ALI,Rocky De La Fuente,false,0,9144,9144,0,636,3256953,false,West,Mountain
Colorado,Baca County,REP,Donald Trump,true,1867,2225,2225,40,1364607,3256953,false,West,Mountain
Colorado,Baca County,DEM,Joe Biden,false,317,2225,2225,24,1804352,3256953,true,West,Mountain
Colorado,Baca County,LIB,Jo Jorgensen,false,26,2225,2225,0,52460,3256953,false,West,Mountain
Colorado,Baca County,IND,Kanye West,false,4,2225,2225,0,8089,3256953,false,West,Mountain
Colorado,Baca County,ASP,Brian Carroll,false,3,2225,2225,0,2516,3256953,false,West,Mountain
